Year,SEX,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,_T,N,2015,SE_ADT_FUNS,PT,6.4
2015,M,N,2015,SE_ADT_FUNS,PT,3.4
2015,F,N,2015,SE_ADT_FUNS,PT,9.5
2016,_T,N,2016,SE_ADT_FUNS,PT,6.8
2016,M,N,2016,SE_ADT_FUNS,PT,3.5
2016,F,N,2016,SE_ADT_FUNS,PT,10.0
2017,_T,N,2017,SE_ADT_FUNS,PT,5.2
2017,M,N,2017,SE_ADT_FUNS,PT,2.9
2017,F,N,2017,SE_ADT_FUNS,PT,7.5
2018,_T,N,2018,SE_ADT_FUNS,PT,5.1
2018,M,N,2018,SE_ADT_FUNS,PT,3.1
2018,F,N,2018,SE_ADT_FUNS,PT,7.2
