Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2012,N,2012,,NUMBER,26.75
2013,N,2013,,NUMBER,28.15
2014,N,2014,,NUMBER,27.45
2015,N,2015,,NUMBER,26.74
2016,N,2016,,NUMBER,26.3
