Year,Sub-indicators,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,The contribution of the industrial sector from the gross domestic product at current prices,N,2016,NV_IND_MANF,PT,5329.34
2017,The contribution of the industrial sector from the gross domestic product at current prices,N,2017,NV_IND_MANF,PT,5545.21
2018,The contribution of the industrial sector from the gross domestic product at current prices,N,2018,NV_IND_MANF,PT,5700.86
2016,Manufacturing value added per capita,N,2016,NV_IND_MANF,PT,54.39
2017,Manufacturing value added per capita,N,2017,NV_IND_MANF,PT,55.16
2018,Manufacturing value added per capita,N,2018,NV_IND_MANF,PT,55.3
