Year,Area,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,URBAN,N,2016,EN_ATM_PM25,NUMBER,31.7
2016,ALLAREA,N,2016,EN_ATM_PM25,NUMBER,32.1
