Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
1997,Amman,N,1997,SI_POV_NAHC,PT,19.6
2002,Amman,N,2002,SI_POV_NAHC,PT,9.2
2006,Amman,N,2006,SI_POV_NAHC,PT,9.4
2008,Amman,N,2008,SI_POV_NAHC,PT,8.3
2010,Amman,N,2010,SI_POV_NAHC,PT,11.4
1997,Balqa,N,1997,SI_POV_NAHC,PT,21.8
2002,Balqa,N,2002,SI_POV_NAHC,PT,17.8
2006,Balqa,N,2006,SI_POV_NAHC,PT,15.3
2008,Balqa,N,2008,SI_POV_NAHC,PT,19.7
2010,Balqa,N,2010,SI_POV_NAHC,PT,20.9
1997,Zarqa,N,1997,SI_POV_NAHC,PT,16.3
2002,Zarqa,N,2002,SI_POV_NAHC,PT,22.3
2006,Zarqa,N,2006,SI_POV_NAHC,PT,14.9
2008,Zarqa,N,2008,SI_POV_NAHC,PT,11.2
2010,Zarqa,N,2010,SI_POV_NAHC,PT,14.1
1997,Madaba,N,1997,SI_POV_NAHC,PT,23.9
2002,Madaba,N,2002,SI_POV_NAHC,PT,10.7
2006,Madaba,N,2006,SI_POV_NAHC,PT,10.0
2008,Madaba,N,2008,SI_POV_NAHC,PT,14.9
2010,Madaba,N,2010,SI_POV_NAHC,PT,15.1
1997,Irbid,N,1997,SI_POV_NAHC,PT,26.0
2002,Irbid,N,2002,SI_POV_NAHC,PT,13.8
2006,Irbid,N,2006,SI_POV_NAHC,PT,12.1
2008,Irbid,N,2008,SI_POV_NAHC,PT,14.7
2010,Irbid,N,2010,SI_POV_NAHC,PT,15.0
1997,Mafraq,N,1997,SI_POV_NAHC,PT,35.9
2002,Mafraq,N,2002,SI_POV_NAHC,PT,25.4
2006,Mafraq,N,2006,SI_POV_NAHC,PT,23.0
2008,Mafraq,N,2008,SI_POV_NAHC,PT,31.9
2010,Mafraq,N,2010,SI_POV_NAHC,PT,19.2
1997,Jarash,N,1997,SI_POV_NAHC,PT,19.2
2002,Jarash,N,2002,SI_POV_NAHC,PT,18.4
2006,Jarash,N,2006,SI_POV_NAHC,PT,16.7
2008,Jarash,N,2008,SI_POV_NAHC,PT,20.3
2010,Jarash,N,2010,SI_POV_NAHC,PT,20.3
1997,Ajlun,N,1997,SI_POV_NAHC,PT,17.3
2002,Ajlun,N,2002,SI_POV_NAHC,PT,9.7
2006,Ajlun,N,2006,SI_POV_NAHC,PT,17.7
2008,Ajlun,N,2008,SI_POV_NAHC,PT,13.3
2010,Ajlun,N,2010,SI_POV_NAHC,PT,25.6
1997,Karak,N,1997,SI_POV_NAHC,PT,13.0
2002,Karak,N,2002,SI_POV_NAHC,PT,12.2
2006,Karak,N,2006,SI_POV_NAHC,PT,21.7
2008,Karak,N,2008,SI_POV_NAHC,PT,17.1
2010,Karak,N,2010,SI_POV_NAHC,PT,13.4
1997,Tafiela,N,1997,SI_POV_NAHC,PT,24.3
2002,Tafiela,N,2002,SI_POV_NAHC,PT,10.6
2006,Tafiela,N,2006,SI_POV_NAHC,PT,19.1
2008,Tafiela,N,2008,SI_POV_NAHC,PT,21.1
2010,Tafiela,N,2010,SI_POV_NAHC,PT,17.2
1997,Ma'an,N,1997,SI_POV_NAHC,PT,37.3
2002,Ma'an,N,2002,SI_POV_NAHC,PT,24.1
2006,Ma'an,N,2006,SI_POV_NAHC,PT,12.7
2008,Ma'an,N,2008,SI_POV_NAHC,PT,24.2
2010,Ma'an,N,2010,SI_POV_NAHC,PT,26.6
1997,Aqaba,N,1997,SI_POV_NAHC,PT,17.0
2002,Aqaba,N,2002,SI_POV_NAHC,PT,15.2
2006,Aqaba,N,2006,SI_POV_NAHC,PT,15.5
2008,Aqaba,N,2008,SI_POV_NAHC,PT,11.8
2010,Aqaba,N,2010,SI_POV_NAHC,PT,19.2
1997,JO,N,1997,SI_POV_NAHC,PT,21.3
2002,JO,N,2002,SI_POV_NAHC,PT,14.2
2006,JO,N,2006,SI_POV_NAHC,PT,13.0
2008,JO,N,2008,SI_POV_NAHC,PT,13.3
2010,JO,N,2010,SI_POV_NAHC,PT,14.4
