Year,Plan,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2017,Jordan has a national action plans for sustainable consumption and production are listed as a priority or goal in national policies,N,2017,SG_SCP_CNTRY,NUMBER,1
2017,Jordan has a coordination mechanism for sustainable consumption and production,N,2017,SG_SCP_CNTRY,NUMBER,1
2017,Jordan has a holistic and comprehensive policy for sustainable consumption and production,N,2017,SG_SCP_CNTRY,NUMBER,1
2017,Jordan has a tool to implement a sustainable consumption and production policy,N,2017,SG_SCP_CNTRY,NUMBER,1
