Year,SEX,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,_T,N,2016,,NUMBER,101.6
2016,M,N,2016,,NUMBER,101.7
2016,F,N,2016,,NUMBER,101.6
2017,_T,N,2017,,NUMBER,103.6
2017,M,N,2017,,NUMBER,103.8
2017,F,N,2017,,NUMBER,103.3
2018,_T,N,2018,,NUMBER,103.7
2018,M,N,2018,,NUMBER,103.3
2018,F,N,2018,,NUMBER,104.1
