Year,Sub-indicators,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2017,"Freight volume, by mode of transport (tonne kilometres)(RAI)",N,2017,IS_TRP_MAILTKM,T_KM,2521905120
2017,"Freight volume, by mode of transport (tonne kilometres)(ROA)",N,2017,IS_TRP_MAILTKM,T_KM,10082673716
2017,"Passenger volume (passenger kilometres), by mode of transport(ROA)",N,2017,IS_TRP_MAILTKM,T_KM,1534590326
2017,"Passenger volume (passenger kilometres), by mode of transport (RAI)",N,2017,IS_TRP_MAILTKM,T_KM,33315639016
