Year,SEX,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,_T,N,2016,SE_PRE_PARTN,NUMBER,60.6
2016,M,N,2016,SE_PRE_PARTN,NUMBER,61.3
2016,F,N,2016,SE_PRE_PARTN,NUMBER,59.9
2017,_T,N,2017,SE_PRE_PARTN,NUMBER,60.4
2017,M,N,2017,SE_PRE_PARTN,NUMBER,61.0
2017,F,N,2017,SE_PRE_PARTN,NUMBER,59.9
2018,_T,N,2018,SE_PRE_PARTN,NUMBER,62.2
2018,M,N,2018,SE_PRE_PARTN,NUMBER,62.6
2018,F,N,2018,SE_PRE_PARTN,NUMBER,61.7
