Year,SEX,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,_T,N,2015,,NUMBER,99.2
2015,M,N,2015,,NUMBER,99.1
2015,F,N,2015,,NUMBER,99.35
2016,_T,N,2016,,NUMBER,99.15
2016,M,N,2016,,NUMBER,99.1
2016,F,N,2016,,NUMBER,99.26
2017,_T,N,2017,,NUMBER,98.55
2017,M,N,2017,,NUMBER,98.49
2017,F,N,2017,,NUMBER,98.62
2018,_T,N,2018,,NUMBER,98.3
2018,M,N,2018,,NUMBER,98.0
2018,F,N,2018,,NUMBER,98.6
