Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2009,N,2009,GF_XPD_GBPC,PT,97.81
2010,N,2010,GF_XPD_GBPC,PT,106.34
2013,N,2013,GF_XPD_GBPC,PT,94.92
2014,N,2014,GF_XPD_GBPC,PT,96.97
2015,N,2015,GF_XPD_GBPC,PT,98.04
