Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2005,N,2005,VC_PRS_UNSNT,PT,47.93
2016,N,2016,VC_PRS_UNSNT,PT,41.52
2017,N,2017,VC_PRS_UNSNT,PT,33.0
