Year,Sub-indicators,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%),N,2016,SG_DSR_SILS,PT,0
2017,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%),N,2017,SG_DSR_SILS,PT,0
2018,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%),N,2018,SG_DSR_SILS,PT,0
