Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2013,N,2013,,NUMBER,414.16
2014,N,2014,,NUMBER,266.24
2015,N,2015,,NUMBER,562.81
2016,N,2016,,NUMBER,621.86
2017,N,2017,,NUMBER,408.52
