Year,Amount of fossil-fuel subsidies,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,US Dollar,N,2015,EN_EWT_RCYPCAP,NUMBER,69.88376
2015,Percent,N,2015,EN_EWT_RCYPCAP,NUMBER,1.21211
2015,billions of current United States dollars,N,2015,EN_EWT_RCYPCAP,NUMBER,0.47687
