Year,SEX,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2017,F,N,2017-18,,NUMBER,91.8
2017,M,N,2017-18,,NUMBER,88.6
2017,_T,N,2017-18,,NUMBER,90.2
