Year,SEX,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2017,_T,N,2017,,NUMBER,4.2
2017,M,N,2017,,NUMBER,4.9
2017,F,N,2017,,NUMBER,3.6
2018,_T,N,2018,,NUMBER,7.2
2018,M,N,2018,,NUMBER,4.3
2018,F,N,2018,,NUMBER,2.2
