Year,نوع التكنلوجيا,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2013,AL2G,N,2013,,NUMBER,99.0
2013,AL3G,N,2013,,NUMBER,98.0
2013,AL4G,N,2013,,NUMBER,
2014,AL2G,N,2014,,NUMBER,99.0
2014,AL3G,N,2014,,NUMBER,99.0
2014,AL4G,N,2014,,NUMBER,80.0
2015,AL2G,N,2015,,NUMBER,99.0
2015,AL3G,N,2015,,NUMBER,99.0
2015,AL4G,N,2015,,NUMBER,80.0
2016,AL2G,N,2016,,NUMBER,99.0
2016,AL3G,N,2016,,NUMBER,99.0
2016,AL4G,N,2016,,NUMBER,87.0
2017,AL2G,N,2017,,NUMBER,99.0
2017,AL3G,N,2017,,NUMBER,99.0
2017,AL4G,N,2017,,NUMBER,99.0
