Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2014,N,2014,BX_TRF_PWKR,PT,17.78
2015,N,2015,BX_TRF_PWKR,PT,14.26
2016,N,2016,BX_TRF_PWKR,PT,11.32
2017,N,2017,BX_TRF_PWKR,PT,11.06
