Year,Indicator,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,Value,N,2015,,NUMBER,26925.0
2016,Value,N,2016,,NUMBER,27830.0
2017,Value,N,2017,,NUMBER,28448.5
2018,Value,N,2018,,NUMBER,29984.0
