Indicator,Disaggregation combinations using this value
#1-5-1,10
#1-5-2,7
#1-5-4,1
#1-6-2,4
#11-1-1a,1
#11-6-2,2
#11-7-b2,1
#16-2-2,1
#16-3-2,1
#17-1-1,1
#17-1-2,1
#17-10-1,12
#17-13-1,1
#17-19-1,1
#17-3-2,1
#17-4-1,1
#17-6-2,8
#17-8-1,1
#17-9-1,1
#4-1-1,3
#4-1-2,3
#4-1-3,3
#4-1-4,3
#4-1-5,4
#4-1-6,3
#4-2-1,3
#4-2-2,3
#4-3-1,3
#4-5-1,1
#4-5-2,1
#4-6-1,3
#5-5-1,2
#6-1-1,1
#6-2-1,1
#6-4-1,1
#6-4-2,1
#6-5-1,1
#6-5-2,1
#6-7-1,1
#6-8-1,1
#9-2-1,2
#9-2-2,13
#9-4-1,3
#9-5-1,1
#9-5-2,1
#9-6-1,1
#9-7-1,1
#9-8-1,3
