Value,Disaggregation combinations using this value,Number of indicators
1990,2,1
1997,16,3
2002,17,4
2005,2,2
2006,14,2
2007,34,3
2008,15,3
2009,8,2
2010,23,5
2011,7,1
2012,42,8
2013,15,10
2014,21,16
2015,83,27
2016,124,48
2017-18,38,5
2017,136,40
2018,87,26
