Value,Disaggregation combinations using this value,Number of indicators
BX_TRF_PWKR,4,1
DC_FTA_TOTAL,4,1
DT_TDS_DECT,4,1
EG_TBA_H2CO,1,1
EN_ATM_CO2,15,1
EN_ATM_PM25,2,1
EN_EWT_RCYPCAP,3,1
EN_H2O_OPAMBQ,1,1
EN_WWT_WWDS,1,1
ER_H2O_IWRMD,1,1
ER_H2O_STRESS,1,1
ER_H2O_WUEYST,1,1
FC_ACC_SSID,1,1
GB_POP_SCIERD,3,1
GB_XPD_RSDV,3,1
GC_GOB_TAXD,4,1
GF_XPD_GBPC,5,1
GR_G14_GDP,4,1
IC_FRM_BRIB,1,1
IS_TRP_MAILTKM,4,1
IT_NET_BBND,12,1
IT_NET_BBNDN,12,1
IT_USE_II99,4,1
NV_IND_MANF,6,1
SE_ADT_ACTS,18,1
SE_ADT_EDUCTRN,9,1
SE_ADT_FUNS,12,1
SE_DEV_ONTRK,9,1
SE_GCEDESD_NEP,16,1
SE_GPI_PART,3,1
SE_PRE_PARTN,9,1
SE_TOT_CPLR,9,1
SE_TOT_PRFL,9,1
SG_DSR_SFDRR,1,1
SG_DSR_SILS,3,1
SG_GEN_LOCG,7,1
SG_GEN_PARL,7,1
SG_HAZ_CMRBASEL,4,1
SG_LGL_GENEQLFP,4,1
SG_SCP_CNTRY,4,1
SG_STT_CAPTY,5,1
SG_STT_FPOS,1,1
SH_H2O_SAFE,5,1
SH_SAN_DEFECT,1,1
SI_POV_DAY1,5,1
SI_POV_NAHC,65,1
SL_TLF_MANF,52,1
SP_DYN_MRBF15,12,1
SP_GNP_WNOWNS,3,1
SP_LGL_LNDAGSEC,3,1
TM_TAX_WMFN,36,1
VC_DSR_GDPLS,35,1
VC_DSR_MISS,40,1
VC_PRS_UNSNT,3,1
VC_VAW_DIST,5,1
VC_VAW_MARR,48,1
VC_VAW_PHYPYV,2,1
