Indicator,Disaggregation combinations using this value
#1-1-1,5
#1-2-1,65
#1-5-1,40
#1-5-2,35
#1-5-3,1
#1-5-4,3
#1-6-2,12
#11-1-1a,4
#11-6-2,2
#11-7-b1,1
#11-7-b2,3
#12-1-1,4
#12-4-1,4
#12-5-1,3
#16-2-1,2
#16-2-2,5
#16-3-2,3
#16-5-2,1
#16-6-1,5
#17-1-1,4
#17-1-2,4
#17-10-1,36
#17-13-1,4
#17-18-2,1
#17-19-1,5
#17-3-2,4
#17-4-1,4
#17-6-2,24
#17-8-1,4
#17-9-1,4
#4-1-1,9
#4-1-2,9
#4-1-3,12
#4-1-4,9
#4-1-5,4
#4-1-6,6
#4-2-1,9
#4-2-2,9
#4-3-1,9
#4-3-3,6
#4-4-1,18
#4-5-1,3
#4-5-2,3
#4-6-1,12
#4-7-1,16
#5-1-1,4
#5-2-1,48
#5-3-1,12
#5-5-1,14
#5-5-21,48
#5-7-1,6
#5-8-1,3
#6-1-1,5
#6-2-1,1
#6-3-1,1
#6-3-2,1
#6-4-1,1
#6-4-2,1
#6-5-1,1
#6-5-2,1
#6-7-1,1
#6-8-1,1
#9-1-2,4
#9-2-1,6
#9-2-2,52
#9-3-2,1
#9-4-1,15
#9-5-1,3
#9-5-2,3
#9-6-1,5
#9-7-1,5
#9-8-1,15
