Value,Disaggregation combinations using this value,Number of indicators
Ajloun,4,1
Ajlun,5,1
Amman,9,2
Aqaba,9,2
Balqa,9,2
Irbid,9,2
Jarash,9,2
JO,9,2
Karak,9,2
Ma'an,9,2
Madaba,9,2
Mafraq,9,2
Tafiela,9,2
Zarqa,9,2
