Year,Enrollment ratio,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,Female to male in primary education,N,2016,SE_GPI_PART,IX,97
2017,Female to male in primary education,N,2017,SE_GPI_PART,IX,96
2018,Female to male in primary education,N,2018,SE_GPI_PART,IX,96
