Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2005,N,2005,,NUMBER,15.8
2010,N,2010,,NUMBER,19.6
2014,N,2014,,NUMBER,12.9
2016,N,2016,,NUMBER,21.1
