Year,Grade,Subject,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,Grade 4,Mathematics,N,2016,,NUMBER,389.0
2016,Grade 4,Sciences,N,2016,,NUMBER,
2016,Grade 8,Mathematics,N,2016,,NUMBER,386.0
2016,Grade 8,Sciences,N,2016,,NUMBER,426.0
